1,192.168.0.1,58
2,10.33.64.1,80
3,100.72.4.149,81
4,100.72.3.194,80
5,100.72.3.193,60
6,100.72.3.185,87
7,10.242.5.18,56
8,200.32.127.98,104
9,200.32.127.97,135
10,67.17.99.233,195
11,*,*
12,4.69.207.33,168
13,4.68.127.54,192
14,129.250.3.40,376
15,129.250.4.88,208
16,129.250.2.219,236
17,129.250.7.69,232
18,129.250.2.177,371
19,129.250.2.128,348
20,129.250.3.232,365
21,61.200.82.178,331
22,*,*
23,*,*
24,*,*
25,210.188.213.76,353
26,*,*
27,*,*
28,*,*
29,*,*
30,183.90.238.55,368
1,192.168.0.1,55
2,10.33.64.1,52
3,100.72.4.149,67
4,100.72.3.194,80
5,100.72.3.193,59
6,100.72.3.185,56
7,10.242.5.18,53
8,200.32.127.98,76
9,200.32.127.97,61
10,67.17.99.233,180
11,*,*
12,4.69.207.33,184
13,4.68.127.54,223
14,129.250.2.202,348
15,129.250.4.20,192
16,129.250.2.219,259
17,129.250.7.69,232
18,129.250.2.177,336
19,129.250.2.128,340
20,129.250.3.232,368
21,61.200.82.178,332
22,*,*
23,*,*
24,*,*
25,210.188.213.76,340
26,*,*
27,183.90.238.55,340
1,192.168.0.1,125
2,10.33.64.1,56
3,100.72.4.149,64
4,100.72.3.194,69
5,100.72.3.193,68
6,100.72.3.185,51
7,10.242.5.18,61
8,200.32.127.98,59
9,200.32.127.97,72
10,67.17.94.249,184
11,*,*
12,*,*
13,4.68.127.54,188
14,129.250.3.40,320
15,129.250.4.88,188
16,129.250.2.219,212
17,129.250.7.69,209
18,129.250.2.177,332
19,129.250.7.33,348
20,129.250.3.210,356
21,61.200.91.186,340
22,*,*
23,*,*
24,*,*
25,210.188.213.76,332
26,183.90.238.55,360
1,192.168.0.1,39
2,10.33.64.1,52
3,100.72.4.149,55
4,100.72.3.194,71
5,*,*
6,100.72.3.185,42
7,10.242.5.18,56
8,200.32.127.98,65
9,200.32.127.97,80
10,67.17.94.249,204
11,*,*
12,*,*
13,4.68.127.54,208
14,129.250.2.202,325
15,129.250.4.20,166
16,129.250.2.219,228
17,129.250.7.69,227
18,129.250.2.177,348
19,129.250.2.128,349
20,129.250.3.232,344
21,61.200.82.178,340
22,*,*
23,*,*
24,*,*
25,210.188.213.76,344
26,183.90.238.55,332
1,192.168.0.1,48
2,10.33.64.1,68
3,100.72.4.149,92
4,100.72.3.194,48
5,100.72.3.193,64
6,100.72.3.185,71
7,10.242.5.18,38
8,200.32.127.98,68
9,200.32.127.97,72
10,67.17.99.233,179
11,*,*
12,*,*
13,4.68.127.54,188
14,129.250.2.202,348
15,129.250.4.20,180
16,129.250.2.219,208
17,129.250.7.69,224
18,129.250.2.177,340
19,129.250.7.33,342
20,129.250.3.106,335
21,61.200.82.178,348
22,*,*
23,*,*
24,*,*
25,210.188.213.76,332
26,*,*
27,183.90.238.55,352
1,192.168.0.1,7
2,10.33.64.1,48
3,100.72.4.149,45
4,100.72.3.194,52
5,100.72.3.193,60
6,100.72.3.185,68
7,10.242.5.18,51
8,200.32.127.98,47
9,200.32.127.97,52
10,67.17.99.233,188
11,*,*
12,*,*
13,4.68.127.54,176
14,129.250.2.202,336
15,129.250.4.20,188
16,129.250.2.219,200
17,129.250.7.69,228
18,129.250.2.177,326
19,129.250.2.128,425
20,129.250.3.232,349
21,61.200.82.178,336
22,*,*
23,*,*
24,*,*
25,210.188.213.76,347
26,183.90.238.55,343
1,192.168.0.1,49
2,10.33.64.1,38
3,100.72.4.149,64
4,100.72.3.194,56
5,100.72.3.193,71
6,100.72.3.185,72
7,10.242.5.18,52
8,200.32.127.98,73
9,200.32.127.97,53
10,67.17.99.233,183
11,*,*
12,*,*
13,4.68.127.54,196
14,129.250.3.40,332
15,129.250.4.88,166
16,129.250.2.219,194
17,129.250.7.69,240
18,129.250.2.177,344
19,129.250.2.128,348
20,129.250.3.232,356
21,61.200.82.178,336
22,*,*
23,*,*
24,*,*
25,210.188.213.76,352
26,183.90.238.55,336
1,192.168.0.1,51
2,10.33.64.1,59
3,100.72.4.149,56
4,100.72.3.194,76
5,100.72.3.193,59
6,100.72.3.185,91
7,10.242.5.18,64
8,200.32.127.98,59
9,200.32.127.97,57
10,67.17.99.233,177
11,*,*
12,*,*
13,4.68.127.54,192
14,129.250.3.40,352
15,129.250.4.88,192
16,129.250.2.219,228
17,129.250.7.69,227
18,129.250.2.177,356
19,129.250.7.33,334
20,129.250.3.106,356
21,61.200.82.178,343
22,*,*
23,*,*
24,*,*
25,210.188.213.76,375
26,*,*
27,183.90.238.55,340
1,192.168.0.1,48
2,10.33.64.1,92
3,100.72.4.149,68
4,100.72.3.194,64
5,100.72.3.193,89
6,100.72.3.185,71
7,10.242.5.18,72
8,200.32.127.98,59
9,200.32.127.97,80
10,67.17.94.249,159
11,*,*
12,*,*
13,4.68.127.54,180
14,129.250.3.40,336
15,129.250.4.88,216
16,129.250.2.219,224
17,129.250.7.69,221
18,129.250.2.177,344
19,129.250.2.128,352
20,129.250.3.232,376
21,61.200.82.178,336
22,*,*
23,*,*
24,*,*
25,210.188.213.76,376
26,183.90.238.55,335
1,192.168.0.1,37
2,10.33.64.1,46
3,100.72.4.149,56
4,100.72.3.194,64
5,100.72.3.193,84
6,100.72.3.185,61
7,*,*
8,200.32.127.98,37
9,200.32.127.97,61
10,67.17.94.249,203
11,*,*
12,4.69.207.33,183
13,4.68.127.54,184
14,129.250.3.40,356
15,129.250.4.88,192
16,129.250.2.219,208
17,129.250.7.69,233
18,129.250.2.177,352
19,129.250.2.128,363
20,129.250.3.232,336
21,61.200.82.178,364
22,*,*
23,*,*
24,*,*
25,210.188.213.76,348
26,183.90.238.55,332
1,192.168.0.1,64
2,10.33.64.1,59
3,100.72.4.149,84
4,100.72.3.194,68
5,100.72.3.193,44
6,100.72.3.185,30
7,10.242.5.18,76
8,200.32.127.98,65
9,200.32.127.97,64
10,67.17.99.233,180
11,*,*
12,*,*
13,4.68.127.54,181
14,129.250.2.202,379
15,129.250.4.20,215
16,129.250.2.219,224
17,129.250.7.69,231
18,129.250.2.177,329
19,129.250.7.33,340
20,129.250.3.210,360
21,61.200.91.186,353
22,*,*
23,*,*
24,*,*
25,210.188.213.76,352
26,*,*
27,183.90.238.55,351
1,192.168.0.1,51
2,10.33.64.1,67
3,100.72.4.149,63
4,100.72.3.194,72
5,100.72.3.193,56
6,100.72.3.185,76
7,*,*
8,200.32.127.98,60
9,200.32.127.97,80
10,67.17.94.249,192
11,*,*
12,*,*
13,4.68.127.54,192
14,129.250.3.40,340
15,129.250.4.88,196
16,129.250.2.219,236
17,129.250.7.69,232
18,129.250.2.177,365
19,129.250.2.128,340
20,129.250.3.232,367
21,61.200.82.178,340
22,*,*
23,*,*
24,*,*
25,210.188.213.76,344
26,183.90.238.55,343
1,192.168.0.1,60
2,10.33.64.1,57
3,100.72.4.149,45
4,100.72.3.194,45
5,100.72.3.193,84
6,100.72.3.185,75
7,10.242.5.18,76
8,200.32.127.98,68
9,200.32.127.97,67
10,67.17.99.233,223
11,*,*
12,*,*
13,4.68.127.54,192
14,129.250.2.202,343
15,129.250.4.20,223
16,129.250.2.219,207
17,129.250.7.69,216
18,129.250.2.177,357
19,129.250.2.128,360
20,129.250.3.232,323
21,61.200.82.178,327
22,*,*
23,*,*
24,*,*
25,210.188.213.76,332
26,183.90.238.55,336
1,192.168.0.1,75
2,10.33.64.1,63
3,100.72.4.149,59
4,100.72.3.194,34
5,100.72.3.193,50
6,100.72.3.185,38
7,10.242.5.18,52
8,200.32.127.98,51
9,200.32.127.97,68
10,67.17.99.233,200
11,*,*
12,*,*
13,4.68.127.54,188
14,129.250.2.202,348
15,129.250.4.20,193
16,129.250.2.219,201
17,129.250.7.69,228
18,129.250.2.177,348
19,129.250.7.33,336
20,129.250.3.106,340
21,61.200.82.178,344
22,*,*
23,*,*
24,*,*
25,210.188.213.76,343
26,183.90.238.55,351
1,192.168.0.1,43
2,10.33.64.1,68
3,100.72.4.149,59
4,100.72.3.194,64
5,100.72.3.193,76
6,100.72.3.185,91
7,10.242.5.18,64
8,200.32.127.98,34
9,200.32.127.97,80
10,67.17.94.249,187
11,*,*
