Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
23  *                  *          2                     SI   
24  *                  *          2                     SI   
25  210.188.213.76   344          2                     NO   
26  183.90.238.55    340         -4                     NO   
TTL1	TTL2	IP1			IP2			Tiempo entre nodos
1	2	192.168.0.1		10.33.64.1		2 ms
2	3	10.33.64.1		100.72.4.149		2 ms
4	5	100.72.3.194		100.72.3.193		7 ms
6	7	100.72.3.185		10.242.5.18		4 ms
7	8	10.242.5.18		200.32.127.98		1 ms
8	9	200.32.127.98		200.32.127.97		29 ms
13	14	4.68.127.54		129.250.2.202		148 ms
15	16	129.250.4.20		129.250.2.219		13 ms
16	17	129.250.2.219		129.250.7.69		23 ms
17	18	129.250.7.69		129.250.2.177		98 ms
18	19	129.250.2.177		129.250.7.33		4 ms
13	14	4.68.127.54		129.250.3.40		143 ms
TTL1	TTL2	IP1			IP2			Valor Z
1	2	192.168.0.1		10.33.64.1		-0.695728049086611
2	3	10.33.64.1		100.72.4.149		-0.695728049086611
4	5	100.72.3.194		100.72.3.193		-0.6029643092083962
6	7	100.72.3.185		10.242.5.18		-0.6586225531353251
7	8	10.242.5.18		200.32.127.98		-0.714280797062254
8	9	200.32.127.98		200.32.127.97		-0.19480385374425108
13	14	4.68.127.54		129.250.2.202		2.0129731553572614
15	16	129.250.4.20		129.250.2.219		-0.49164782135453844
16	17	129.250.2.219		129.250.7.69		-0.30612034159810886
17	18	129.250.7.69		129.250.2.177		1.0853357565751132
18	19	129.250.2.177		129.250.7.33		-0.6586225531353251
13	14	4.68.127.54		129.250.3.40		1.9202094154790463
OUTLIERS USANDO CIMBALA:
========================
TTL1	TTL2	IP1			IP2			Tiempo entre nodos
13	14	4.68.127.54		129.250.2.202		148 ms
13	14	4.68.127.54		129.250.3.40		143 ms
17	18	129.250.7.69		129.250.2.177		98 ms
OUTLIERS PARA RESULTADOS NORMALIZADOS:
======================================
TTL1	TTL2	IP1			IP2			Valor Z
13	14	4.68.127.54		129.250.2.202		2.0129731553572614
13	14	4.68.127.54		129.250.3.40		1.9202094154790463
17	18	129.250.7.69		129.250.2.177		1.0853357565751132
